city,county,county_pop
Baker City,Baker,16134.00
Bridgeport,Baker,16134.00
Durkee,Baker,16134.00
Haines,Baker,16134.00
Hereford,Baker,16134.00
Huntington,Baker,16134.00
Oxbow,Baker,16134.00
Unity,Baker,16134.00
Halfway,Baker,16134.00
Hermiston,Baker,16134.00
Medical Springs,Baker,16134.00
Richland,Baker,16134.00
Sumpter,Baker,16134.00
Corvallis,Benton,85579.00
Philomath,Benton,85579.00
Alsea,Benton,85579.00
Blodgett,Benton,85579.00
Monroe,Benton,85579.00
Boring,Clackamas,375992.00
Canby,Clackamas,375992.00
Eagle Creek,Clackamas,375992.00
Gladstone,Clackamas,375992.00
Mulino,Clackamas,375992.00
Oregon City,Clackamas,375992.00
Rhododendron,Clackamas,375992.00
Welches,Clackamas,375992.00
Beavercreek,Clackamas,375992.00
Brightwood,Clackamas,375992.00
Clackamas,Clackamas,375992.00
Colton,Clackamas,375992.00
Estacada,Clackamas,375992.00
Government Camp,Clackamas,375992.00
Lake Oswego,Clackamas,375992.00
Maylhurst,Clackamas,375992.00
Mololla,Clackamas,375992.00
Sandy,Clackamas,375992.00
Timberline Lodge,Clackamas,375992.00
West Linn,Clackamas,375992.00
Wilsonville,Clackamas,375992.00
Zigzag,Clackamas,375992.00
Arch Cape,Clatsop,37039.00
Astoria,Clatsop,37039.00
Cannon Beach,Clatsop,37039.00
Gearhart,Clatsop,37039.00
Hammond,Clatsop,37039.00
Seaside,Clatsop,37039.00
Tolovana Park,Clatsop,37039.00
Warrenton,Clatsop,37039.00
Birkenfeld,Columbia,49351.00
Clatskanie,Columbia,49351.00
Columbia City,Columbia,49351.00
Rainier,Columbia,49351.00
Saint Helens,Columbia,49351.00
Scappoose,Columbia,49351.00
Vernonia,Columbia,49351.00
Warren,Columbia,49351.00
Westport,Columbia,49351.00
Deer Island,Columbia,49351.00
Broadbent,Coos,63043.00
Charleston,Coos,63043.00
Coos Bay,Coos,63043.00
Eastside,Coos,63043.00
Lakeside,Coos,63043.00
Norway,Coos,63043.00
Powers,Coos,63043.00
Allegany,Coos,63043.00
Bandon,Coos,63043.00
Coquille,Coos,63043.00
Myrtle Point,Coos,63043.00
North Bend,Coos,63043.00
Remote,Coos,63043.00
Paulina,Crook,20978.00
Post,Crook,20978.00
Powell Butte,Crook,20978.00
Prineville,Crook,20978.00
Brookings,Curry,22364.00
Harbor,Curry,22364.00
Langlois,Curry,22364.00
Port Orford,Curry,22364.00
Agness,Curry,22364.00
Gold Beach,Curry,22364.00
Ophir,Curry,22364.00
Pistol River,Curry,22364.00
Sixes,Curry,22364.00
Wedderburn,Curry,22364.00
Black Butte Ranch,Deschutes,157733.00
Brothers,Deschutes,157733.00
Sisters,Deschutes,157733.00
Sunriver,Deschutes,157733.00
Bend,Deschutes,157733.00
Crooked River Ranch,Deschutes,157733.00
La Pine,Deschutes,157733.00
Redmond,Deschutes,157733.00
Terrebonne,Deschutes,157733.00
Camas Valley,Douglas,107667.00
Curtin,Douglas,107667.00
Diamond Lake,Douglas,107667.00
Drain,Douglas,107667.00
Elkton,Douglas,107667.00
Glide,Douglas,107667.00
Myrtle Creek,Douglas,107667.00
Reedsport,Douglas,107667.00
Roseburg,Douglas,107667.00
Scottsburg,Douglas,107667.00
Tenmile,Douglas,107667.00
Umpqua,Douglas,107667.00
Winchester,Douglas,107667.00
Winston,Douglas,107667.00
Yoncalla,Douglas,107667.00
Azalea,Douglas,107667.00
Canyonville,Douglas,107667.00
Days Creek,Douglas,107667.00
Dillard,Douglas,107667.00
Gardiner,Douglas,107667.00
Glendale,Douglas,107667.00
Idleyld Park,Douglas,107667.00
Oakland,Douglas,107667.00
Riddle,Douglas,107667.00
Sutherlin,Douglas,107667.00
Tiller,Douglas,107667.00
Wilbur,Douglas,107667.00
Winchester Bay,Douglas,107667.00
Mikkalo,Gilliam,1871.00
Arlington,Gilliam,1871.00
Condon,Gilliam,1871.00
Mayville,Gilliam,1871.00
Canyon City,Grant,7445.00
Fox,Grant,7445.00
John Day,Grant,7445.00
Kimberly,Grant,7445.00
Monument,Grant,7445.00
Bates,Grant,7445.00
Dale,Grant,7445.00
Dayville,Grant,7445.00
Long Creek,Grant,7445.00
Mount Vernon,Grant,7445.00
Prairie City,Grant,7445.00
Ritter,Grant,7445.00
Seneca,Grant,7445.00
Burns,Harney,7422.00
Crane,Harney,7422.00
Princeton,Harney,7422.00
Riley,Harney,7422.00
Diamond,Harney,7422.00
Drewsey,Harney,7422.00
Fields,Harney,7422.00
Frenchglen,Harney,7422.00
Hines,Harney,7422.00
Lawen,Harney,7422.00
Hood River,Hood River,22346.00
Mount Hood,Hood River,22346.00
Cascade Locks,Hood River,22346.00
Odell,Hood River,22346.00
Gold Hill,Jackson,203206.00
Jacksonville,Jackson,203206.00
Medford,Jackson,203206.00
Prospect,Jackson,203206.00
Rogue River,Jackson,203206.00
Shady Cove,Jackson,203206.00
Talent,Jackson,203206.00
Trail,Jackson,203206.00
White City,Jackson,203206.00
Applegate,Jackson,203206.00
Ashland,Jackson,203206.00
Butte Falls,Jackson,203206.00
Central Point,Jackson,203206.00
Eagle Point,Jackson,203206.00
Phoenix,Jackson,203206.00
Ashwood,Jefferson,21720.00
Madras,Jefferson,21720.00
Camp Sherman,Jefferson,21720.00
Culver,Jefferson,21720.00
Warm Springs,Jefferson,21720.00
Selma,Josephine,82713.00
Wilderville,Josephine,82713.00
Williams,Josephine,82713.00
Cave Junction,Josephine,82713.00
Grants Pass,Josephine,82713.00
Kerby,Josephine,82713.00
Merlin,Josephine,82713.00
Murphy,Josephine,82713.00
O'Brien,Josephine,82713.00
Wolf Creek,Josephine,82713.00
Dairy,Klamath,66380.00
Fort Klamath,Klamath,66380.00
Klamath Falls,Klamath,66380.00
Merrill,Klamath,66380.00
Beatty,Klamath,66380.00
Bly,Klamath,66380.00
Bonanza,Klamath,66380.00
Chemult,Klamath,66380.00
Chiloquin,Klamath,66380.00
Crater Lake,Klamath,66380.00
Crescent Lake,Klamath,66380.00
Gilchrist,Klamath,66380.00
Keno,Klamath,66380.00
Malin,Klamath,66380.00
Midland,Klamath,66380.00
Oretech,Klamath,66380.00
Sprague River,Klamath,66380.00
Christmas Valley,Lake,7895.00
New Pine Creek,Lake,7895.00
Silver Lake,Lake,7895.00
Adel,Lake,7895.00
Fort Rock,Lake,7895.00
Lakeview,Lake,7895.00
Paisley,Lake,7895.00
Plush,Lake,7895.00
Summer Lake,Lake,7895.00
Alvadore,Lane,351715.00
Blue River,Lane,351715.00
Cheshire,Lane,351715.00
Coburg,Lane,351715.00
Creswell,Lane,351715.00
Culp Creek,Lane,351715.00
Deadwood,Lane,351715.00
Dexter,Lane,351715.00
Eugene,Lane,351715.00
Florence,Lane,351715.00
Jasper,Lane,351715.00
Leaburg,Lane,351715.00
Lorane,Lane,351715.00
Lowell,Lane,351715.00
Mapleton,Lane,351715.00
McKenzie Bridge,Lane,351715.00
Oakridge,Lane,351715.00
Pleasant Hill,Lane,351715.00
River Road,Lane,351715.00
Saginaw,Lane,351715.00
Walterville,Lane,351715.00
Westlake,Lane,351715.00
Blachly,Lane,351715.00
Cottage Grove,Lane,351715.00
Dorena,Lane,351715.00
Elmira,Lane,351715.00
Fall Creek,Lane,351715.00
Greenleaf,Lane,351715.00
Junction City,Lane,351715.00
Marcola,Lane,351715.00
Noti,Lane,351715.00
Springfield,Lane,351715.00
Swisshome,Lane,351715.00
Thurston,Lane,351715.00
